input,H1072055.JPG,H1072057.JPG,H1072059.JPG,H1072061.JPG,H1072063.JPG,H1072065.JPG,H1072067.JPG,H1072069.JPG,H1072071.JPG
0,,,,,,,,,
1,,,0.000,0.000,0.034,0.000,,,
2,1.450,3.738,0.000,0.000,1.186,0.000,0.005,1.314,1.142
3,2.601,5.453,0.251,0.000,2.015,0.002,0.325,2.381,1.894
4,3.481,7.116,0.458,0.158,2.741,0.177,0.545,3.123,2.661
5,4.392,8.830,0.588,0.272,3.358,0.296,0.686,3.875,3.290
6,5.245,10.574,0.683,0.355,3.932,0.380,0.786,4.621,3.869
7,6.370,12.704,0.790,0.450,4.695,0.475,0.898,5.615,4.598
8,7.649,15.248,0.892,0.538,5.470,0.565,1.016,6.717,5.386
9,8.847,17.524,0.968,0.604,6.113,0.636,1.217,7.714,6.073
10,9.970,19.528,1.082,0.658,6.732,0.694,1.386,8.621,6.726
11,11.111,21.452,1.241,0.711,7.379,0.750,1.550,9.579,7.403
12,12.202,23.371,1.401,0.762,8.043,0.803,1.709,10.584,8.074
13,13.223,25.187,1.560,0.813,8.714,0.853,1.855,11.591,8.754
14,14.205,27.012,1.711,0.861,9.359,0.900,1.993,12.550,9.390
15,15.174,28.796,1.855,0.909,9.975,0.946,2.147,13.467,10.001
16,16.147,30.509,1.992,0.954,10.565,0.990,2.298,14.373,10.597
17,17.102,32.162,2.155,1.000,11.155,1.109,2.449,15.282,11.188
18,18.041,33.851,2.321,1.136,11.768,1.250,2.602,16.230,11.789
19,18.984,35.637,2.490,1.281,12.436,1.398,2.759,17.197,12.427
20,19.924,37.459,2.654,1.423,13.114,1.542,2.913,18.163,13.073
21,20.886,39.376,2.822,1.569,13.851,1.685,3.080,19.184,13.797
22,21.883,41.351,2.988,1.712,14.604,1.827,3.267,20.255,14.539
23,22.867,43.200,3.191,1.847,15.334,1.960,3.444,21.327,15.264
24,23.810,44.992,3.383,1.973,16.041,2.177,3.611,22.386,15.967
25,24.787,46.916,3.573,2.191,16.759,2.422,3.773,23.504,16.692
26,25.737,48.924,3.759,2.431,17.517,2.670,3.933,24.637,17.428
27,26.708,50.807,3.941,2.667,18.288,2.909,4.126,25.775,18.179
28,27.703,52.556,4.161,2.893,19.081,3.264,4.332,26.870,18.969
29,28.718,54.333,4.399,3.210,19.889,3.690,4.539,27.993,19.783
30,29.778,56.101,4.639,3.615,20.705,4.162,4.746,29.218,20.633
31,30.832,57.836,4.884,4.033,21.564,4.753,4.955,30.497,21.532
32,31.903,59.536,5.141,4.584,22.462,5.368,5.174,31.767,22.433
33,32.910,61.166,5.399,5.111,23.356,5.966,5.382,33.020,23.325
34,33.833,62.685,5.635,5.643,24.217,6.571,5.574,34.186,24.175
35,34.698,64.178,5.865,6.167,25.048,7.169,5.759,35.330,24.994
36,35.554,65.699,6.107,6.744,25.914,7.810,5.948,36.525,25.816
37,36.470,67.298,6.380,7.375,26.798,8.497,6.168,37.848,26.658
38,37.453,68.981,6.670,8.077,27.726,9.249,6.413,39.250,27.554
39,38.469,70.684,6.977,8.857,28.676,10.048,6.664,40.688,28.465
