input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.344,1.365,1.398,1.305,1.438,1.434,1.401,1.537,1.389,0.099,0.598,1.177,1.989,2.347,3.049,1.419,0.062,0.292,1.114,2.007,2.409,3.157,4.059,2.257,2.067,1.271,1.331
3,2.509,2.535,2.573,2.446,2.610,2.606,2.540,2.676,2.537,0.648,1.523,2.191,2.992,3.731,4.500,2.592,0.444,1.292,2.027,3.086,3.883,4.687,5.963,3.540,3.261,2.438,2.476
4,3.499,3.532,3.582,3.405,3.613,3.627,3.519,3.698,3.516,1.235,2.232,2.971,3.997,4.949,5.907,3.607,0.868,1.882,2.955,4.260,5.238,6.254,7.817,4.685,4.367,3.386,3.438
5,4.491,4.504,4.537,4.356,4.565,4.586,4.465,4.655,4.432,1.619,2.792,3.796,5.007,6.207,7.396,4.617,1.209,2.442,3.786,5.320,6.526,7.945,9.682,5.806,5.457,4.206,4.361
6,5.366,5.363,5.387,5.205,5.410,5.440,5.315,5.519,5.252,1.860,3.220,4.523,6.052,7.404,8.823,5.497,1.444,2.832,4.442,6.306,7.757,9.544,11.497,6.906,6.426,4.931,5.185
7,6.519,6.504,6.530,6.347,6.552,6.604,6.470,6.658,6.380,2.212,3.789,5.486,7.327,8.972,10.711,6.663,1.686,3.410,5.317,7.590,9.451,11.414,13.835,8.386,7.714,5.918,6.309
8,7.855,7.787,7.811,7.665,7.821,7.901,7.780,7.920,7.666,2.669,4.498,6.604,8.787,10.770,12.833,7.968,1.922,4.120,6.399,9.035,11.259,13.595,16.416,10.002,9.080,6.941,7.581
9,9.181,8.954,8.968,8.891,8.943,9.044,9.011,9.036,8.877,3.027,5.125,7.607,10.120,12.350,14.769,9.180,2.215,4.802,7.327,10.336,12.839,15.811,18.747,11.473,10.403,7.836,8.757
10,10.343,10.015,10.005,10.007,9.945,10.027,10.089,10.000,9.979,3.446,5.732,8.504,11.313,13.814,16.515,10.271,2.511,5.431,8.160,11.466,14.362,17.740,20.952,12.743,11.555,8.639,9.813
11,11.485,11.094,11.060,11.118,10.992,11.023,11.133,10.992,11.098,3.859,6.347,9.444,12.546,15.353,18.213,11.397,2.801,6.111,9.002,12.600,15.953,19.609,23.072,14.112,12.696,9.497,10.916
