input,H1072136.JPG,H1072138.JPG,H1072140.JPG,H1072142.JPG,H1072144.JPG
0,,,,,
1,,,,,
2,1.433,0.696,1.118,1.532,2.267
3,2.680,1.550,2.016,2.770,3.616
4,3.739,2.280,2.773,3.833,4.898
5,4.715,2.864,3.469,4.809,6.367
6,5.587,3.388,4.012,5.696,7.470
7,6.735,4.042,4.765,6.839,8.831
8,8.058,4.870,5.564,8.152,10.640
9,9.252,5.639,6.259,9.352,12.207
10,10.332,6.316,6.893,10.418,13.664
11,11.446,7.036,7.601,11.547,15.231
12,12.578,7.824,8.328,12.649,16.724
13,13.664,8.550,9.038,13.688,18.049
14,14.680,9.232,9.670,14.682,19.305
15,15.621,9.882,10.257,15.589,20.510
16,16.541,10.559,10.821,16.476,21.698
17,17.447,11.232,11.395,17.363,22.964
18,18.357,11.903,11.994,18.314,24.370
19,19.313,12.567,12.650,19.329,25.807
20,20.281,13.223,13.324,20.319,27.175
21,21.291,13.901,14.050,21.327,28.696
22,22.311,14.611,14.785,22.318,30.306
23,23.296,15.312,15.492,23.290,31.857
24,24.252,16.010,16.204,24.290,33.429
25,25.219,16.743,16.932,25.292,35.093
26,26.208,17.495,17.707,26.301,36.708
27,27.204,18.254,18.502,27.310,38.204
28,28.209,19.012,19.310,28.330,39.649
29,29.236,19.790,20.132,29.360,41.154
30,30.289,20.593,20.972,30.392,42.656
31,31.367,21.467,21.873,31.450,44.139
32,32.452,22.379,22.807,32.536,45.528
33,33.474,23.287,23.716,33.566,46.820
34,34.453,24.162,24.589,34.561,48.076
35,35.438,24.999,25.434,35.550,49.306
36,36.428,25.815,26.287,36.566,50.579
37,37.436,26.631,27.157,37.558,51.923
38,38.440,27.495,28.083,38.533,53.382
39,39.441,28.396,29.025,39.511,54.895
40,40.417,29.276,29.953,40.485,56.422
41,41.370,30.134,30.870,41.444,57.900
42,42.321,30.962,31.761,42.408,59.349
43,43.290,31.796,32.644,43.384,60.808
44,44.296,32.678,33.559,44.400,62.313
45,45.338,33.585,34.476,45.450,63.852
46,46.408,34.488,35.374,46.527,65.366
47,47.495,35.406,36.288,47.629,66.858
48,48.603,36.335,37.187,48.739,68.327
49,49.702,37.271,38.071,49.843,69.727
50,50.793,38.213,38.979,50.926,71.081
51,51.863,39.152,39.903,52.000,72.430
52,52.933,40.077,40.777,53.060,73.819
53,53.994,41.023,41.679,54.118,75.240
54,55.039,41.976,42.602,55.216,76.681
55,56.127,42.957,43.567,56.339,78.181
56,57.262,43.972,44.555,57.470,79.701
57,58.398,45.018,45.588,58.609,81.289
58,59.528,46.076,46.640,59.726,82.840
59,60.623,47.145,47.715,60.825,84.379
60,61.717,48.202,48.817,61.916,85.910
61,62.790,49.304,49.960,63.005,87.464
62,63.868,50.426,51.116,64.078,89.034
63,64.928,51.555,52.297,65.149,90.592
