input,H1072150.JPG,H1072152.JPG
0,,
1,,
2,3.434,0.000
3,5.191,0.000
4,6.784,0.090
5,8.481,0.232
6,10.155,0.320
7,12.327,0.413
8,14.741,0.505
9,16.952,0.577
10,18.906,0.635
11,20.910,0.695
12,22.908,0.751
13,24.840,0.804
14,26.799,0.852
15,28.574,0.895
16,30.294,0.937
17,31.881,0.976
18,33.720,1.070
19,35.562,1.218
20,37.393,1.365
21,39.268,1.509
22,41.041,1.643
23,42.730,1.784
24,44.550,1.918
25,46.387,2.129
26,48.147,2.421
27,49.990,2.718
28,51.696,3.021
29,53.415,3.425
30,55.202,3.839
31,57.019,4.327
32,58.815,4.843
33,60.484,5.375
34,62.048,5.881
35,63.558,6.367
36,65.243,6.911
37,66.970,7.554
38,68.806,8.276
39,70.434,8.990
40,72.024,9.725
41,73.575,10.471
42,75.213,11.290
43,76.926,12.193
44,78.604,13.017
45,80.308,13.909
46,82.112,14.932
47,83.823,15.926
48,85.603,17.026
49,87.132,17.984
50,88.643,19.015
51,90.285,20.050
52,91.919,21.200
53,93.524,22.354
54,95.114,23.490
55,96.780,24.694
56,98.438,25.993
57,100.011,27.256
58,101.451,28.417
59,103.064,29.723
60,104.650,31.012
61,106.196,32.340
62,107.646,33.581
63,109.107,34.875
64,110.553,36.260
65,111.925,37.596
66,113.439,39.071
67,114.786,40.483
68,116.161,41.842
69,117.513,43.163
70,118.869,44.666
71,120.281,46.147
72,121.644,47.528
73,122.986,48.999
74,124.321,50.483
75,125.676,51.944
76,127.052,53.387
77,128.462,54.963
78,129.784,56.472
79,131.217,58.014
80,132.616,59.471
81,133.934,60.882
82,135.290,62.521
83,136.658,64.045
84,137.948,65.578
85,139.110,67.024
86,140.283,68.459
87,141.541,70.002
88,142.763,71.480
89,144.044,73.082
90,145.262,74.547
91,146.487,76.169
92,147.711,77.718
93,148.969,79.330
94,150.216,80.977
95,151.379,82.574
96,152.568,84.124
97,153.810,85.746
98,155.020,87.280
99,156.153,88.809
100,157.377,90.527
101,158.566,92.138
102,159.769,93.802
103,160.855,95.282
104,161.897,96.727
105,163.030,98.240
106,164.139,99.821
107,165.261,101.374
108,166.258,102.797
109,167.304,104.246
110,168.441,105.769
111,169.480,107.213
112,170.525,108.835
113,171.534,110.213
114,172.648,111.635
115,173.686,113.110
116,174.692,114.540
117,175.672,115.915
118,176.709,117.282
119,177.740,118.643
120,178.738,120.039
121,179.742,121.458
122,180.688,122.757
123,181.734,124.160
124,182.701,125.462
125,183.671,126.840
126,184.526,127.986
127,185.374,129.127
128,186.276,130.355
129,187.105,131.600
130,187.974,132.883
131,188.791,134.058
132,189.685,135.233
133,190.618,136.468
134,191.518,137.629
135,192.418,138.834
136,193.217,139.927
137,194.032,141.013
138,194.910,142.143
139,195.734,143.259
140,196.478,144.349
141,197.274,145.514
142,198.047,146.614
143,198.796,147.680
144,199.553,148.784
145,200.297,149.889
146,201.126,151.052
147,201.942,152.167
148,202.761,153.258
149,203.507,154.282
150,204.232,155.228
151,204.997,156.256
152,205.751,157.262
153,206.527,158.298
154,207.238,159.271
155,207.984,160.275
156,208.687,161.245
157,209.375,162.195
158,210.052,163.154
159,210.714,164.063
160,211.377,165.030
161,212.032,165.954
162,212.721,166.947
163,213.394,167.860
164,214.154,168.831
165,214.831,169.685
166,215.493,170.605
167,216.069,171.490
168,216.634,172.393
169,217.195,173.255
170,217.776,174.072
171,218.385,174.944
172,218.960,175.736
173,219.539,176.591
174,220.151,177.536
175,220.730,178.423
176,221.322,179.339
177,221.848,180.165
178,222.397,181.007
179,222.961,181.897
180,223.539,182.750
181,224.131,183.635
182,224.690,184.483
183,225.235,185.349
184,225.744,186.170
185,226.277,186.997
186,226.797,187.827
187,227.334,188.674
188,227.883,189.563
189,228.458,190.554
190,229.025,191.467
191,229.528,192.278
192,230.069,193.160
193,230.561,193.976
194,231.086,194.879
195,231.549,195.724
196,232.040,196.654
197,232.486,197.574
198,232.945,198.474
199,233.394,199.385
200,233.848,200.261
201,234.304,201.154
202,234.757,202.103
203,235.181,203.053
204,235.593,203.982
205,236.014,204.832
206,236.434,205.688
207,236.913,206.638
208,237.406,207.623
209,237.886,208.558
210,238.334,209.463
211,238.813,210.421
212,239.252,211.385
213,239.703,212.360
214,240.180,213.347
215,240.593,214.277
216,241.038,215.247
217,241.442,216.244
218,241.863,217.170
219,242.204,218.157
220,242.571,219.253
221,242.937,220.118
222,243.367,220.904
223,243.805,222.053
224,244.124,223.069
225,244.574,224.086
226,244.905,225.032
227,245.857,226.315
228,253.741,228.408
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
