input,H1072175.JPG,H1072177.JPG,H1072179.JPG
0,,,
1,,,
2,1.406,3.593,0.000
3,2.566,5.373,0.000
4,3.557,6.987,0.065
5,4.470,8.741,0.201
6,5.314,10.487,0.287
7,6.456,12.701,0.376
8,7.744,15.185,0.465
9,8.901,17.433,0.535
10,9.953,19.415,0.591
11,11.053,21.535,0.648
12,12.155,23.535,0.704
13,13.180,25.496,0.755
14,14.177,27.450,0.800
15,15.152,29.227,0.840
16,16.119,30.864,0.880
17,17.047,32.578,0.919
18,18.008,34.379,0.960
19,19.012,36.219,1.010
20,19.982,38.033,1.161
21,20.997,39.956,1.325
22,21.993,41.827,1.484
23,22.965,43.545,1.635
24,23.943,45.332,1.788
25,24.936,47.161,1.937
26,25.917,49.026,2.205
27,26.909,50.805,2.564
28,27.901,52.545,2.922
29,28.928,54.311,3.371
30,29.989,56.093,3.849
31,31.072,57.917,4.402
32,32.133,59.639,4.979
33,33.107,61.327,5.589
34,33.992,62.909,6.158
35,34.863,64.538,6.755
36,35.768,66.215,7.422
37,36.716,67.882,8.135
38,37.702,69.572,8.885
39,38.730,71.270,9.644
40,39.713,72.946,10.442
41,40.666,74.551,11.258
42,41.608,76.138,12.139
43,42.599,77.811,13.086
44,43.632,79.587,14.124
45,44.703,81.348,15.235
46,45.794,83.109,16.420
47,46.880,84.823,17.614
48,47.938,86.483,18.823
49,48.960,88.093,20.031
50,49.957,89.687,21.224
51,50.947,91.265,22.443
52,51.951,92.845,23.668
53,52.972,94.437,24.961
54,54.039,96.049,26.281
55,55.100,97.709,27.643
56,56.157,99.382,29.037
57,57.186,101.013,30.443
58,58.199,102.590,31.823
59,59.175,104.096,33.233
60,60.167,105.598,34.626
61,61.157,107.114,36.028
62,62.129,108.596,37.489
63,63.128,110.066,38.976
64,64.135,111.520,40.455
65,65.132,112.925,41.903
66,66.106,114.335,43.366
67,67.090,115.750,44.867
68,68.071,117.167,46.366
69,69.074,118.593,47.827
70,70.068,119.960,49.286
71,71.075,121.355,50.794
72,72.093,122.705,52.311
73,73.094,124.043,53.834
74,74.062,125.390,55.385
75,75.041,126.735,56.955
76,76.055,128.111,58.525
77,77.074,129.501,60.071
78,78.075,130.910,61.670
79,79.095,132.318,63.280
80,80.137,133.680,64.876
81,81.154,135.051,66.499
82,82.158,136.406,68.108
83,83.158,137.708,69.683
84,84.156,138.968,71.223
85,85.135,140.172,72.716
86,86.104,141.407,74.220
87,87.090,142.669,75.773
88,88.078,143.932,77.323
89,89.081,145.156,78.890
90,90.065,146.377,80.513
91,91.057,147.608,82.104
92,92.053,148.818,83.663
93,93.025,150.006,85.186
94,94.021,151.217,86.700
95,95.032,152.441,88.206
96,96.053,153.660,89.711
97,97.068,154.863,91.203
98,98.058,156.068,92.691
99,99.085,157.249,94.166
100,100.106,158.459,95.659
101,101.130,159.638,97.100
