input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.682,0.699,0.652,0.719,0.717,0.701,0.768,0.695,0.000,0.050,0.299,0.589,0.995,1.173,1.524,1.869,0.000,0.031,0.146,0.557,1.004,1.204,1.579,2.030,1.129,1.034,0.635,0.034,0.717,0.348
2,1.365,1.398,1.305,1.438,1.434,1.401,1.537,1.389,0.000,0.099,0.598,1.177,1.989,2.347,3.049,3.738,0.000,0.062,0.292,1.114,2.007,2.409,3.157,4.059,2.257,2.067,1.271,1.186,1.433,0.696
3,2.535,2.573,2.446,2.610,2.606,2.540,2.676,2.537,0.251,0.648,1.523,2.191,2.992,3.731,4.500,5.453,0.000,0.444,1.292,2.027,3.086,3.883,4.687,5.963,3.540,3.261,2.438,2.015,2.680,1.550
4,3.532,3.582,3.405,3.613,3.627,3.519,3.698,3.516,0.458,1.235,2.232,2.971,3.997,4.949,5.907,7.116,0.158,0.868,1.882,2.955,4.260,5.238,6.254,7.817,4.685,4.367,3.386,2.741,3.739,2.280
5,4.504,4.537,4.356,4.565,4.586,4.465,4.655,4.432,0.588,1.619,2.792,3.796,5.007,6.207,7.396,8.830,0.272,1.209,2.442,3.786,5.320,6.526,7.945,9.682,5.806,5.457,4.206,3.358,4.715,2.864
6,5.363,5.387,5.205,5.410,5.440,5.315,5.519,5.252,0.683,1.860,3.220,4.523,6.052,7.404,8.823,10.574,0.355,1.444,2.832,4.442,6.306,7.757,9.544,11.497,6.906,6.426,4.931,3.932,5.587,3.388
7,6.504,6.530,6.347,6.552,6.604,6.470,6.658,6.380,0.790,2.212,3.789,5.486,7.327,8.972,10.711,12.704,0.450,1.686,3.410,5.317,7.590,9.451,11.414,13.835,8.386,7.714,5.918,4.695,6.735,4.042
8,7.787,7.811,7.665,7.821,7.901,7.780,7.920,7.666,0.892,2.669,4.498,6.604,8.787,10.770,12.833,15.248,0.538,1.922,4.120,6.399,9.035,11.259,13.595,16.416,10.002,9.080,6.941,5.470,8.058,4.870
9,8.954,8.968,8.891,8.943,9.044,9.011,9.036,8.877,0.968,3.027,5.125,7.607,10.120,12.350,14.769,17.524,0.604,2.215,4.802,7.327,10.336,12.839,15.811,18.747,11.473,10.403,7.836,6.113,9.252,5.639
10,10.015,10.005,10.007,9.945,10.027,10.089,10.000,9.979,1.082,3.446,5.732,8.504,11.313,13.814,16.515,19.528,0.658,2.511,5.431,8.160,11.466,14.362,17.740,20.952,12.743,11.555,8.639,6.732,10.332,6.316
11,11.094,11.060,11.118,10.992,11.023,11.133,10.992,11.098,1.241,3.859,6.347,9.444,12.546,15.353,18.213,21.452,0.711,2.801,6.111,9.002,12.600,15.953,19.609,23.072,14.112,12.696,9.497,7.379,11.446,7.036
12,12.168,12.163,12.207,12.057,12.079,12.160,12.038,12.153,1.401,4.323,7.002,10.407,13.756,16.772,19.901,23.371,0.762,3.102,6.824,9.892,13.785,17.394,21.413,25.081,15.489,13.844,10.356,8.043,12.578,7.824
13,13.212,13.233,13.235,13.146,13.132,13.145,13.123,13.113,1.560,4.791,7.689,11.363,14.929,18.069,21.405,25.187,0.813,3.431,7.464,10.853,14.993,18.759,23.072,27.036,16.699,14.960,11.155,8.714,13.664,8.550
14,14.234,14.250,14.226,14.214,14.196,14.081,14.163,14.030,1.711,5.228,8.351,12.374,16.095,19.425,22.938,27.012,0.861,3.742,8.063,11.830,16.195,20.168,24.613,28.864,17.827,16.009,11.903,9.359,14.680,9.232
